Timestamp,Relative Time (ms),Expression,Answer,Selected Option,Correctness,testUser
Timestamp,Relative Time (ms),Expression,Answer,Selected Option,Correctness,testUser
11/17/2024 18:07:11,5818,15 - 5,10,75,WRONG
11/17/2024 18:07:11,6263,90 - 25,65,42,WRONG
11/17/2024 18:07:12,6490,6 + 42,48,18,WRONG
11/17/2024 18:07:12,6995,30 + 37,67,67,CORRECT
11/17/2024 18:07:12,7197,69 + 30,99,100,WRONG
11/17/2024 18:07:13,7588,41 + 1 + 52,94,94,CORRECT
11/17/2024 18:07:13,7876,9 + 41 - 4 + 2,48,22,WRONG
11/17/2024 18:07:14,8352,85 - 6 - 29,50,52,WRONG
11/17/2024 18:07:14,8613,43 - 4,39,37,WRONG
11/17/2024 18:07:14,8985,70 - 36,34,88,WRONG
11/17/2024 18:07:14,9281,87 + 1 - 25,63,58,WRONG
11/17/2024 18:07:15,9664,75 - 73,2,19,WRONG
11/17/2024 18:07:22,16668,4 * 18,72,MISS,MISS
Timestamp,Relative Time (ms),Expression,Answer,Selected Option,Correctness,testUser
Timestamp,Relative Time (ms),Expression,Answer,Selected Option,Correctness,testUser
11/17/2024 18:09:57,5455,38 - 29,9,67,WRONG
Timestamp,Relative Time (ms),Expression,Answer,Selected Option,Correctness,testUser
11/17/2024 18:12:00,12015,50 + 36,86,MISS,MISS
11/17/2024 18:12:04,15565,75 - 49,26,51,WRONG
11/17/2024 18:12:06,17512,96 - 88,8,99,WRONG
11/17/2024 18:12:06,18101,87 + 10,97,97,CORRECT
11/17/2024 18:12:07,18687,77 - 33,44,44,CORRECT
11/17/2024 18:12:07,19367,75 - 63,12,65,WRONG
11/17/2024 18:12:08,19819,8 + 87,95,95,CORRECT
11/17/2024 18:12:08,20302,56 + 2 * 9 / 1,74,14,WRONG
11/17/2024 18:12:09,20718,22 + 7,29,74,WRONG
11/17/2024 18:12:09,21097,29 - 6,23,30,WRONG
11/17/2024 18:12:10,21519,59 + 2 - 26,35,78,WRONG
11/17/2024 18:12:10,21859,22 + 22,44,80,WRONG
11/17/2024 18:12:11,22442,3 + 96 - 6 + 2,95,95,CORRECT
Timestamp,Relative Time (ms),Expression,Answer,Selected Option,Correctness,testUser
11/17/2024 18:13:02,6104,99 - 1,98,30,WRONG
11/17/2024 18:13:03,6725,20 + 9,29,29,CORRECT
11/17/2024 18:13:03,7238,40 + 38,78,80,WRONG
11/17/2024 18:13:04,7695,23 + 21,44,88,WRONG
Timestamp,Relative Time (ms),Expression,Answer,Selected Option,Correctness,testUser
11/17/2024 18:13:28,6045,11 / 11,1,15,WRONG
Timestamp,Relative Time (ms),Expression,Answer,Selected Option,Correctness,testUser
Timestamp,Relative Time (ms),Expression,Answer,Selected Option,Correctness,testUser
Timestamp,Relative Time (ms),Expression,Answer,Selected Option,Correctness,testUser
Timestamp,Relative Time (ms),Expression,Answer,Selected Option,Correctness,testUser
11/17/2024 18:18:48,6260,19 - 7,12,12,CORRECT
Timestamp,Relative Time (ms),Expression,Answer,Selected Option,Correctness,testUser
11/17/2024 19:40:37,7359,37 * 2,74,64,WRONG
11/17/2024 19:40:38,7992,57 + 6,63,63,CORRECT
11/17/2024 19:40:38,8501,24 + 65,89,92,WRONG
11/17/2024 19:40:39,8943,3 + 13,16,16,CORRECT
11/17/2024 19:40:39,9307,2 + 9 + 1 * 18,29,63,WRONG
11/17/2024 19:40:39,9665,8 - 14 + 89,83,35,WRONG
11/17/2024 19:40:40,10754,71 - 52,19,19,CORRECT
11/17/2024 19:40:41,11167,64 - 20,44,44,CORRECT
11/17/2024 19:40:41,11531,38 - ( 5 - 22 ),55,28,WRONG
11/17/2024 19:40:42,11903,28 - ( 4 + 18 ),6,71,WRONG
11/17/2024 19:40:42,12189,4 * 17 / 2 - 9,25,78,WRONG
11/17/2024 19:40:42,12413,21 - 6 + 76,91,91,CORRECT
11/17/2024 19:40:43,13076,57 + 5,62,96,WRONG
