Start Time,Total Questions,Total Correct,Total Wrong,Total Miss,Total Game Time,Starting Frequency,Increase Rate,End Frequency
09/25/2023 14:37:56,5,0,5,0,5,1,0.1,1.5000000000000004
Start Time,Total Questions,Total Correct,Total Wrong,Total Miss,Total Game Time,Starting Frequency,Increase Rate,End Frequency
09/25/2023 14:37:19,5,2,3,0,5,1,0.1,1.5000000000000004
Date,Relative Time,Word,Color,User Choice,furyhorn
09/25/2023 14:37:23,3470,Orange,orange,Yellow
09/25/2023 14:37:24,4404,Red,red,Purple
09/25/2023 14:37:24,5287,Purple,purple,Orange
09/25/2023 14:37:25,6237,Green,green,Yellow
09/25/2023 14:37:26,7105,Purple,purple,Green
Start Time,Total Questions,Total Correct,Total Wrong,Total Miss,Total Game Time,Starting Frequency,Increase Rate,End Frequency
09/25/2023 14:37:19,5,2,3,0,5,1,0.1,1.5000000000000004
Date,Relative Time,Word,Color,User Choice,furyhorn
09/25/2023 14:38:01,5674,Purple,purple,Yellow
09/25/2023 14:38:02,6473,Yellow,yellow,Green
09/25/2023 14:38:03,7357,Blue,blue,Blue
09/25/2023 14:38:04,8173,Red,red,Red
09/25/2023 14:38:04,8957,Purple,purple,Red
Start Time,Total Questions,Total Correct,Total Wrong,Total Miss,Total Game Time,Starting Frequency,Increase Rate,End Frequency
09/25/2023 14:37:56,5,0,5,0,5,1,0.1,1.5000000000000004
