Date Time,Relative Time,Expression,Answer,User Choice,Result,wd
10/09/2023 14:51:18,6286,82 - 12 - 46,24,32,Incorrect
10/09/2023 14:51:19,7360,19 + 77 - 77 + 52,71,73,Incorrect
10/09/2023 14:51:20,7952,63 - 40 + 62,85,89,Incorrect
10/09/2023 14:51:21,8392,37 + 17 + 25,79,54,Incorrect
10/09/2023 14:51:21,8654,43 - ( 45 - 12 ),10,10,Correct
10/09/2023 14:51:21,8807,33 + 1 - 49 + 56,41,65,Incorrect
10/09/2023 14:51:21,8962,27 + 63 - 36,54,54,Correct
10/09/2023 14:51:21,9120,69 + 68 - 13 - 45,79,75,Incorrect
10/09/2023 14:51:21,9274,42 - 48 - 8 + 60 / 2,16,40,Incorrect
10/09/2023 14:51:22,9411,33 - ( 25 - 42 ),50,50,Correct
10/09/2023 14:51:22,9571,84 + 42 - 42,84,84,Correct
10/09/2023 14:51:22,9726,30 + 4 * 2 + 18 * 2 * 10 / 10,74,58,Incorrect
10/09/2023 14:51:22,9880,45 - ( 97 - 80 ),28,31,Incorrect
10/09/2023 14:51:22,10018,68 - 12 / 6,66,10,Incorrect
10/09/2023 14:51:22,10184,77 - ( 8 - 5 ),74,49,Incorrect
10/09/2023 14:51:22,10328,94 + 88 - 84,98,66,Incorrect
10/09/2023 14:51:23,10482,29 - 3 + 83 - 90,19,2,Incorrect
10/09/2023 14:51:23,10640,95 + 46 - ( 3 + 96 ) + 50,92,18,Incorrect
10/09/2023 14:51:23,10800,97 - ( 21 - 16 ),92,79,Incorrect
10/09/2023 14:51:23,10955,77 - 58 - 14,5,5,Correct
