Date Time,Relative Time,Expression,Answer,User Choice,Result,OWENZPPZPPZ
10/09/2023 15:19:03,3554,40 - ( 47 - 88 ),81,75,Incorrect
10/09/2023 15:19:04,4956,60 / 2 / 5,6,51,Incorrect
10/09/2023 15:19:05,5609,73 - 80 + 29,22,20,Incorrect
10/09/2023 15:19:05,6243,( 93 - 75 ) * 2,36,65,Incorrect
10/09/2023 15:19:06,7225,94 - ( 63 - 31 ),62,12,Incorrect
10/09/2023 15:19:07,7915,29 + 93 - 75,47,37,Incorrect
10/09/2023 15:19:08,8996,60 - 9 + 32,83,79,Incorrect
10/09/2023 15:19:17,18159,99 - 54 + 33,78,78,Correct
10/09/2023 15:19:25,25566,34 + 7 - 40 + 94,95,95,Correct
10/09/2023 15:19:26,26841,46 - 60 + 36 + 69 - 56,35,97,Incorrect
10/09/2023 15:19:27,27460,50 + 77 - 62 - ( 24 - 57 ),98,18,Incorrect
10/09/2023 15:19:27,27984,86 + 8 + 50 - ( 93 - 37 ),88,57,Incorrect
10/09/2023 15:19:29,29450,98 - 56 * 28 / 14 + 95,81,80,Incorrect
10/09/2023 15:19:30,30850,46 + 60 + 40 + 39 - 92,93,93,Correct
10/09/2023 15:19:34,34886,96 + 23 - 46 - 81 - 38 + 81,35,48,Incorrect
10/09/2023 15:19:34,35266,44 - ( 23 + 23 - 72 - 27 + 89 ),8,70,Incorrect
10/09/2023 15:19:35,35714,86 + 14 * 12 - 4 * 61 + 29,39,92,Incorrect
10/09/2023 15:19:35,36086,66 + 2 + 11 - 83 - 14 + 42,24,23,Incorrect
